record_type	dore_id	dore_title	original_target	stage2_cover_target	assignment_basis	status	notes
RULE	*	ALL CANONICAL DORE PLATES	original_book original_chapter	DEFAULT = original_book original_chapter	DIRECT ORIGINAL CHAPTER	ACTIVE	Every canonical plate receives one Stage 2 primary cover. Duplicate-original-chapter collisions are reassigned below.
OVERRIDE	005	The Death of Abel	Genesis 4	Genesis 6	SAME NARRATIVE / HUMAN VIOLENCE	ASSIGNED	Genesis 4 retained by plate 004; Genesis 6 develops the violence and corruption introduced by Cain's murder.
OVERRIDE	008	The Dove Sent Forth from the Ark	Genesis 8	Genesis 10	SAME NOAH / POST-FLOOD UNIT	ASSIGNED	Genesis 8 retained by plate 007; Genesis 10 belongs to the post-flood world opened by the dove and covenant sequence.
OVERRIDE	014	The Expulsion of Ishmael and His Mother	Genesis 21	Genesis 16	SAME HAGAR-ISHMAEL NARRATIVE	ASSIGNED	Genesis 21 retained by plate 015; Genesis 16 is the earlier Hagar wilderness/expulsion cycle.
OVERRIDE	019	The Meeting of Isaac and Rebekah	Genesis 24	Genesis 26	SAME ISAAC-REBEKAH CYCLE	ASSIGNED	Genesis 24 retained by plate 018; Genesis 26 prominently continues Isaac and Rebekah's household story.
OVERRIDE	023	The Prayer of Jacob	Genesis 32	Genesis 31	SAME JACOB RETURN CYCLE	ASSIGNED	Genesis 32 retained by plate 024; Genesis 31 directly precedes Jacob's fearful return and confrontation with Esau.
OVERRIDE	030	The Child Moses on the Nile	Exodus 2	Exodus 1	SAME MOSES BIRTH UNIT	ASSIGNED	Exodus 2 retained by plate 031; Exodus 1 supplies Pharaoh's decree and immediate narrative setting for the infant Moses.
OVERRIDE	036	The Egyptians Urge Moses to Depart	Exodus 12	Exodus 13	SAME EXODUS DEPARTURE UNIT	ASSIGNED	Exodus 12 retained by plate 035; Exodus 13 continues the departure from Egypt.
OVERRIDE	040	Moses Coming Down From Mt. Sinai	Exodus 32	Exodus 34	SAME SINAI / TABLETS UNIT	ASSIGNED	Exodus 32 retained by plate 041; Exodus 34 contains Moses' later descent from Sinai with the renewed tablets.
OVERRIDE	049	Joshua Spares Rahab	Joshua 6	Joshua 2	SAME RAHAB NARRATIVE	ASSIGNED	Joshua 6 retained by plate 048; Joshua 2 is Rahab's principal narrative chapter.
OVERRIDE	052	Destruction of the Army of the Amorites	Joshua 10	Joshua 11	SAME CONQUEST CAMPAIGN	ASSIGNED	Joshua 10 retained by plate 053; Joshua 11 continues the large-scale conquest campaigns.
OVERRIDE	056	Gideon Choosing His Soldiers	Judges 7	Judges 6	SAME GIDEON CYCLE	ASSIGNED	Judges 7 retained by plate 057; Judges 6 is Gideon's call and preparation for battle.
OVERRIDE	058	Death of the Sons of Gideon	Judges 9	Judges 8	SAME GIDEON-ABIMELECH TRANSITION	ASSIGNED	Judges 9 retained by plate 059; Judges 8 closes Gideon's life and introduces the dynastic crisis.
OVERRIDE	061	The Daughters of Israel Lamenting the Daughter of Jephthah	Judges 11	Judges 12	SAME JEPHTHAH AFTERMATH	ASSIGNED	Judges 11 retained by plate 060; Judges 12 immediately continues Jephthah's closing period.
OVERRIDE	064	Samson Carrying Away the Gates of Gaza	Judges 16	Judges 13	SAME SAMSON CYCLE	ASSIGNED	Judges 16 retained by plate 065; Judges 13 is the opening of the Samson cycle.
OVERRIDE	066	Death of Samson	Judges 16	Hebrews 11	EXPLICIT CANONICAL SAMSON REFERENCE	ASSIGNED	Hebrews 11:32 explicitly names Samson among the judges.
OVERRIDE	068	The Levite Bearing Away the Body of the Woman	Judges 19	Judges 20	DIRECT NARRATIVE CONSEQUENCE	ASSIGNED	Judges 19 retained by plate 067; Judges 20 is the civil war triggered by the outrage and the Levite's action.
OVERRIDE	085	David Mourning the Death of Absalom	2 Samuel 18	2 Samuel 19	DIRECT CONTINUATION	ASSIGNED	2 Samuel 18 retained by plate 084; David's mourning continues at the opening of chapter 19.
OVERRIDE	087	Abishai Saves the Life of David	2 Samuel 21	2 Samuel 22	DAVID DELIVERANCE CONTEXT	ASSIGNED	2 Samuel 21 retained by plate 086; chapter 22 is David's song celebrating divine deliverance from enemies.
OVERRIDE	098	The Children Destroyed by Bears	2 Kings 2	2 Kings 3	ELISHA MINISTRY CONTINUATION	ASSIGNED	2 Kings 2 retained by plate 097; chapter 3 continues Elisha's prophetic ministry.
OVERRIDE	101	Jehu's Companions Finding the Remains of Jezebel	2 Kings 9	2 Kings 10	JEHU PURGE CONTINUATION	ASSIGNED	2 Kings 9 retained by plate 100; chapter 10 continues Jehu's purge and the aftermath of Jezebel's fall.
OVERRIDE	162	The Flight Into Egypt	Matthew 2	Hosea 11	EXPLICIT MATTHEW 2:15 PARALLEL	ASSIGNED	Matthew 2 retained by plate 161; Matthew explicitly connects the flight/return motif with Hosea 11:1.
OVERRIDE	163	The Massacre of the Innocents	Matthew 2	Jeremiah 31	EXPLICIT MATTHEW 2:17-18 PARALLEL	ASSIGNED	Matthew cites Jeremiah 31:15 in connection with the massacre.
OVERRIDE	167	The Daughter of Herod Receiving the Head of John the Baptist	Matthew 14	Mark 6	DIRECT GOSPEL PARALLEL	ASSIGNED	Matthew 14 retained by plate 168; Mark 6 narrates the same death of John the Baptist.
OVERRIDE	171	Jesus Healing the Lunatic	Matthew 17	Mark 9	DIRECT GOSPEL PARALLEL	ASSIGNED	Matthew 17 retained by plate 170; Mark 9 contains the parallel healing following the Transfiguration.
OVERRIDE	175	Jesus Scourged	Matthew 27	Isaiah 53	MESSIANIC SUFFERING PARALLEL	ASSIGNED	One of the Matthew 27 duplicate plates redistributed to a principal suffering-servant chapter.
OVERRIDE	176	Christ Mocked	Matthew 27	Isaiah 50	MESSIANIC SUFFERING PARALLEL	ASSIGNED	Isaiah 50:6 describes striking, shame and spitting, closely matching the mocked Christ image.
OVERRIDE	177	The Arrival at Calvary	Matthew 27	Psalm 22	PASSION PSALM PARALLEL	ASSIGNED	Psalm 22 is a principal canonical passion parallel.
OVERRIDE	179	The Descent From the Cross	Matthew 27	Zechariah 12	PIERCED-MESSIAH PARALLEL	ASSIGNED	Zechariah 12:10 supplies the pierced-one context for the aftermath of crucifixion.
OVERRIDE	180	The Dead Christ	Matthew 27	Psalm 69	SUFFERING / REPROACH PARALLEL	ASSIGNED	Psalm 69 is a major canonical suffering and reproach text used in the passion tradition.
OVERRIDE	181	The Burial of Christ	Matthew 27	Psalm 16	BURIAL / RESURRECTION PARALLEL	ASSIGNED	Psalm 16:10 is used canonically in relation to death, the grave and resurrection hope.
OVERRIDE	184	The Baptism of Jesus	Mark 1	Matthew 3	DIRECT GOSPEL PARALLEL	ASSIGNED	Mark 1 retained by plate 183; Matthew 3 contains the direct baptism parallel.
OVERRIDE	190	The Judas Kiss	Mark 14	Psalm 41	BETRAYAL PARALLEL	ASSIGNED	Mark 14 retained by plate 189; Psalm 41:9 supplies the close-companion betrayal motif.
OVERRIDE	195	Jesus With the Doctors	Luke 2	1 Samuel 3	CHILD-IN-SANCTUARY CANONICAL PARALLEL	ASSIGNED	Luke 2 retained by plate 194; 1 Samuel 3 provides the strongest child-in-sanctuary analogue.
OVERRIDE	197	Jesus Healing the Man Possessed With a Devil	Luke 4	Mark 5	GOSPEL DEMONIAC PARALLEL	ASSIGNED	Luke 4 retained by plate 196; Mark 5 provides an extended demoniac-healing narrative.
OVERRIDE	199	Mary Magdalene Repentant	Luke 8	John 20	SAME PERSON / MAGDALENE NARRATIVE	ASSIGNED	Luke 8 retained by plate 200; John 20 gives Mary Magdalene a major chapter-level role.
OVERRIDE	202	Arrival of the Good Samaritan at the Inn	Luke 10	James 2	MERCY / ACTIVE FAITH PARALLEL	ASSIGNED	Luke 10 retained by plate 201; James 2 supplies a canonical mercy-and-active-faith context.
OVERRIDE	203	Jesus at the House of Martha and Mary	Luke 10	John 12	SAME HOUSEHOLD / DIRECT PERSON PARALLEL	ASSIGNED	John 12 again places Jesus with Martha and Mary.
OVERRIDE	205	The Return of the Prodigal Son	Luke 15	Hosea 14	RETURN / REPENTANCE PARALLEL	ASSIGNED	Luke 15 retained by plate 206; Hosea 14 is a direct canonical call to return to the LORD.
