layer	dore_id	classification	dore_title	primary_reference	semantic_target	semantic_basis	status	notes
STAGE4_SEMANTIC	001	CANONICAL	The Creation of Light	Genesis 1	Isaiah 60	LIGHT / GLORY	ASSIGNED	Creation light reused for eschatological light and glory.
STAGE4_SEMANTIC	002	CANONICAL	The Formation of Eve	Genesis 2	Ephesians 5	BRIDE / COVENANT	ASSIGNED	Human bride imagery reused for Christ-church union.
STAGE4_SEMANTIC	003	CANONICAL	Adam and Eve Driven Out of Eden	Genesis 3	Revelation 22	EXILE / RESTORED EDEN	ASSIGNED	Expulsion image reused against restored access to tree of life.
STAGE4_SEMANTIC	004	CANONICAL	Cain and Abel Offering Their Sacrifices	Genesis 4	Hebrews 11	FAITH / OFFERING	ASSIGNED	Abel's offering explicitly recalled in faith chapter.
STAGE4_SEMANTIC	005	CANONICAL	The Death of Abel	Genesis 4	Hebrews 12	RIGHTEOUS BLOOD	ASSIGNED	Abel's blood contrasted with Jesus' blood.
STAGE4_SEMANTIC	006	CANONICAL	The World Destroyed by Water	Genesis 7	Matthew 24	JUDGMENT / DAYS OF NOAH	ASSIGNED	Jesus explicitly compares coming judgment to Noah's days.
STAGE4_SEMANTIC	007	CANONICAL	The Deluge	Genesis 8	2 Peter 3	JUDGMENT / NEW CREATION	ASSIGNED	Flood image reused for cosmic judgment and renewal.
STAGE4_SEMANTIC	008	CANONICAL	The Dove Sent Forth from the Ark	Genesis 8	Matthew 3	DOVE / NEW BEGINNING	ASSIGNED	Dove image reused for baptism and Spirit descent.
STAGE4_SEMANTIC	009	CANONICAL	Noah Cursing Canaan	Genesis 9	Galatians 3	BLESSING / CURSE	ASSIGNED	Curse imagery reused within blessing-curse theology.
STAGE4_SEMANTIC	010	CANONICAL	The Confusion of Tongues	Genesis 11	Acts 2	LANGUAGES / REVERSAL	ASSIGNED	Babel scattering reused against Pentecost gathering.
STAGE4_SEMANTIC	011	CANONICAL	Abraham Journeying into the Land of Canaan	Genesis 12	Hebrews 11	PILGRIMAGE / FAITH	ASSIGNED	Abraham's journey explicitly reread as faith pilgrimage.
STAGE4_SEMANTIC	012	CANONICAL	Abraham and the Three Angels	Genesis 18	Hebrews 13	HOSPITALITY / ANGELS	ASSIGNED	Hospitality to angels thematic reuse.
STAGE4_SEMANTIC	013	CANONICAL	The Flight of Lot	Genesis 19	Luke 17	JUDGMENT / LOT	ASSIGNED	Jesus invokes Lot's escape in end-time warning.
STAGE4_SEMANTIC	014	CANONICAL	The Expulsion of Ishmael and His Mother	Genesis 21	Galatians 4	HAGAR / TWO COVENANTS	ASSIGNED	Hagar narrative explicitly allegorized by Paul.
STAGE4_SEMANTIC	015	CANONICAL	Hagar and Ishmael in the Wilderness	Genesis 21	Galatians 4	HAGAR / EXILE	ASSIGNED	Same Hagar complex reused in covenant contrast.
STAGE4_SEMANTIC	016	CANONICAL	The Trial of Abraham's Faith	Genesis 22	Romans 8	FATHER / SON / SACRIFICE	ASSIGNED	Beloved son sacrifice imagery reused christologically.
STAGE4_SEMANTIC	017	CANONICAL	The Burial of Sarah	Genesis 23	Hebrews 11	PROMISE / BURIAL	ASSIGNED	Patriarchal burial in promised land within faith pilgrimage.
STAGE4_SEMANTIC	018	CANONICAL	Eliezer and Rebekah	Genesis 24	John 4	WELL / BRIDE ENCOUNTER	ASSIGNED	Well-side encounter imagery reused for covenant encounter motif.
STAGE4_SEMANTIC	019	CANONICAL	The Meeting of Isaac and Rebekah	Genesis 24	Revelation 19	BRIDE / WEDDING	ASSIGNED	Bridegroom-bride image reused for marriage supper imagery.
