layer	dore_id	dore_title	original_reference	parallel_target	parallel_type	basis
STAGE3B	001	The Creation of Light	Genesis 1:3	John 1	CREATION_FULFILLMENT	Word, creation and light are explicitly joined.
STAGE3B	001	The Creation of Light	Genesis 1:3	2 Corinthians 4	SCRIPTURE_REUSE	Paul explicitly recalls God's command that light shine from darkness.
STAGE3B	002	The Formation of Eve	Genesis 2:21-22	Ephesians 5	ADAM_CHRIST_TYPOLOGY	Genesis marriage is explicitly applied to Christ and the church.
STAGE3B	003	Adam and Eve Driven Out of Eden	Genesis 3:24	Romans 5	ADAM_CHRIST_TYPOLOGY	Adam's trespass is contrasted with Christ's obedience.
STAGE3B	003	Adam and Eve Driven Out of Eden	Genesis 3:24	1 Corinthians 15	ADAM_CHRIST_TYPOLOGY	First Adam and last Adam are explicitly contrasted.
STAGE3B	006	The World Destroyed by Water	Genesis 7:24	1 Peter 3	FLOOD_BAPTISM	Noah's flood is explicitly related to baptism.
STAGE3B	006	The World Destroyed by Water	Genesis 7:24	2 Peter 3	FLOOD_JUDGMENT	Flood judgment is compared with coming judgment.
STAGE3B	010	The Confusion of Tongues	Genesis 11:6-8	Acts 2	BABEL_PENTECOST	Canonical language-scattering/gathering contrast.
STAGE3B	012	Abraham and the Three Angels	Genesis 18:9-10	Hebrews 13	ANGELIC_HOSPITALITY	Hospitality to strangers and angels recalls Abraham's scene.
STAGE3B	016	The Trial of Abraham's Faith	Genesis 22:10-12	Hebrews 11	FAITH_RETROSPECT	Hebrews explicitly retells Abraham offering Isaac.
STAGE3B	016	The Trial of Abraham's Faith	Genesis 22:10-12	James 2	FAITH_WORKS_RETROSPECT	James explicitly cites Abraham offering Isaac.
STAGE3B	024	Jacob Wrestling with the Angel	Genesis 32:24	Hosea 12	PROPHETIC_RETROSPECT	Hosea explicitly recalls Jacob wrestling with the angel.
STAGE3B	028	Joseph Makes Himself Known to His Brethren	Genesis 45:1	Acts 7	HISTORICAL_RETROSPECT	Stephen explicitly retells Joseph's recognition by his brothers.
STAGE3B	030	The Child Moses on the Nile	Exodus 2:3	Acts 7	HISTORICAL_RETROSPECT	Stephen retells Moses' infancy.
STAGE3B	032	Moses and Aaron Before Pharaoh	Exodus 7:10	Acts 7	HISTORICAL_RETROSPECT	Stephen retells Moses' mission and signs in Egypt.
STAGE3B	035	The Firstborn Slain	Exodus 12:29-30	1 Corinthians 5	PASSOVER_CHRIST	Christ is explicitly called our Passover.
STAGE3B	037	The Egyptians Drowned in the Red Sea	Exodus 14:27	1 Corinthians 10	EXODUS_BAPTISM	Sea crossing is explicitly interpreted as baptism into Moses.
STAGE3B	038	Moses Striking the Rock in Horeb	Exodus 17:6	1 Corinthians 10	ROCK_CHRIST	Paul explicitly identifies the spiritual rock with Christ.
STAGE3B	039	The Giving of the Law Upon Mt. Sinai	Exodus 19:18	Hebrews 12	SINAI_ZION	Hebrews explicitly contrasts Sinai with heavenly Zion.
