layer	dore_id	dore_title	deuterocanon_reference	canonical_cover_target	assignment_basis	status	notes
DEUTEROCANON_COVER	140	Tobias and the Angel	Tobit 6:4	Genesis 24	JOURNEY / PROVIDENTIAL GUIDANCE	ASSIGNED	A young man journeys under providential guidance toward marriage; close narrative analogue to the servant's journey for Rebekah.
DEUTEROCANON_COVER	141	The Angel Raphael and the Family of Tobit	Tobit 12:15,20	Genesis 19	ANGELIC VISITATION / DELIVERANCE	ASSIGNED	Angelic visitors reveal divine mission and deliver a household; strong visual-narrative analogue to Lot and the angels.
DEUTEROCANON_COVER	142	Judith and Holofernes	Judith 13:8	Judges 4	WOMAN DEFEATS ENEMY COMMANDER	ASSIGNED	Judith killing Holofernes closely parallels Jael killing Sisera.
DEUTEROCANON_COVER	143	Judith Shows the Head of Holofernes	Judith 13:14	Judges 5	VICTORY THROUGH A WOMAN / SONG AFTER DELIVERANCE	ASSIGNED	Judith's public victory corresponds closely to Deborah's celebration of Jael after Sisera's death.
DEUTEROCANON_COVER	144	Esther Before the King	Esther 15:6-7	Esther 5	SAME ESTHER NARRATIVE	ASSIGNED	Greek expansion of Esther's appearance before the king directly corresponds to the canonical scene in Esther 5.
DEUTEROCANON_COVER	145	Mattathias and the Apostate	1 Maccabees 2:23-24	Numbers 25	ZEAL AGAINST APOSTASY	ASSIGNED	Mattathias' violent zeal against public apostasy closely parallels Phinehas' zeal in Numbers 25.
DEUTEROCANON_COVER	146	Mattathias Appeals to the Jewish Refugees	1 Maccabees 2:50	Joshua 24	COVENANT LOYALTY / CHOOSE WHOM TO SERVE	ASSIGNED	Call to remain faithful to the covenant parallels Joshua's covenant appeal at Shechem.
DEUTEROCANON_COVER	147	Judas Maccabeus Pursues Timotheus	1 Maccabees 5:42	Judges 8	PURSUIT AFTER DELIVERANCE	ASSIGNED	Military pursuit after victory closely parallels Gideon's continued pursuit of enemy kings.
DEUTEROCANON_COVER	148	The Death of Eleazar	1 Maccabees 6:43,46	2 Samuel 23	HEROIC WARRIOR SELF-SACRIFICE	ASSIGNED	Eleazar's battlefield death fits the heroic-warrior tradition of David's mighty men.
DEUTEROCANON_COVER	149	Jonathan Destroys the Temple of Dagon	1 Maccabees 10:84	1 Samuel 5	DAGON / DEFEAT OF IDOLATRY	ASSIGNED	Directly shares the Dagon-temple motif; canonical chapter depicts Dagon humiliated before the ark.
DEUTEROCANON_COVER	150	Heliodorus Is Cast Down	2 Maccabees 3:25-27	2 Kings 19	SUPERNATURAL DEFENSE OF THE HOLY PLACE	ASSIGNED	Heavenly intervention defeats a profaning aggressor, paralleling divine destruction of Sennacherib's army.
DEUTEROCANON_COVER	151	The Army Appears in the Heavens	2 Maccabees 5:2	2 Kings 6	HEAVENLY ARMY REVEALED	ASSIGNED	Closest canonical visual parallel is Elisha's servant seeing the mountain filled with heavenly horses and chariots.
DEUTEROCANON_COVER	152	The Martyrdom of Eleazar the Scribe	2 Maccabees 6:30	Daniel 3	FAITHFULNESS UNDER PAGAN COERCION	ASSIGNED	Refusal to violate covenant under threat of death parallels the three Hebrews refusing imperial idolatry.
DEUTEROCANON_COVER	153	The Courage of a Mother	2 Maccabees 7:29	Hebrews 11	MARTYRDOM / RESURRECTION FAITH	ASSIGNED	Hebrews 11:35-38 explicitly evokes faithful sufferers and resurrection hope strongly associated with the Maccabean martyr tradition.
DEUTEROCANON_COVER	154	The Punishment of Antiochus	2 Maccabees 9:7,9	Daniel 11	PERSECUTING KING / DIVINE JUDGMENT	ASSIGNED	Antiochene persecution is the central historical horizon of Daniel 11's contemptible persecuting ruler.
DEUTEROCANON_COVER	155	The Angel Is Sent to Deliver Israel	2 Maccabees 11:8	Daniel 10	ANGELIC AID IN NATIONAL CONFLICT	ASSIGNED	Daniel 10 explicitly depicts angelic princes engaged in conflict concerning God's people.
DEUTEROCANON_COVER	156	Judas Maccabeus before the Army of Nicanor	2 Maccabees 15:21	Zechariah 4	VICTORY BY DIVINE SPIRIT NOT HUMAN MIGHT	ASSIGNED	The Maccabean prayer-before-battle image fits Zechariah's 'not by might, nor by power, but by my Spirit' theme.
DEUTEROCANON_COVER	157	Baruch	Baruch 3:14	Jeremiah 36	BARUCH THE SCRIBE	ASSIGNED	Same named biblical figure; Jeremiah 36 centers on Baruch writing and reading Jeremiah's scroll.
DEUTEROCANON_COVER	158	Susanna in the Bath	Susanna 21 / Daniel 13	2 Samuel 11	SEXUAL GAZE / ABUSE OF POWER	ASSIGNED	Susanna observed while bathing provides a strong visual and moral counterpoint to David seeing Bathsheba and abusing royal power.
DEUTEROCANON_COVER	159	The Justification of Susanna	Susanna 61-62 / Daniel 13	Deuteronomy 19	FALSE WITNESSES / JUDICIAL VINDICATION	ASSIGNED	Susanna's case turns on exposing false witnesses; Deuteronomy 19 gives the canonical law governing malicious witnesses.
DEUTEROCANON_COVER	160	Daniel Confounds the Priests of Bel	Bel and the Dragon / Daniel 14	1 Kings 18	TRUE GOD AGAINST FALSE CULT	ASSIGNED	Daniel exposing Bel's priests closely parallels Elijah's confrontation with Baal worship and exposure of false religion.
