layer	dore_id	dore_title	primary_reference	parallel_target	parallel_type	status	notes
DORÉ_DIRECT_PARALLEL	081	Death of Saul	1 Samuel 31	1 Chronicles 10	DIRECT HISTORICAL RETELLING	VERIFIED	Same death-of-Saul narrative retold in Chronicles.
DORÉ_DIRECT_PARALLEL	083	David Punishing the Ammonites	2 Samuel 12	1 Chronicles 20	DIRECT HISTORICAL RETELLING	VERIFIED	Same Ammonite campaign aftermath.
DORÉ_DIRECT_PARALLEL	088	Judgment of Solomon	1 Kings 3	2 Chronicles 1	SOLOMON WISDOM PARALLEL	VERIFIED	Same early-Solomon wisdom/accession complex.
DORÉ_DIRECT_PARALLEL	089	Cutting Down Cedars for the Construction of the Temple	1 Kings 5	2 Chronicles 2	DIRECT TEMPLE PREPARATION PARALLEL	VERIFIED	Temple timber preparations retold in Chronicles.
DORÉ_DIRECT_PARALLEL	103	Destruction of the Army of Sennacherib	2 Kings 19	Isaiah 37	DIRECT HISTORICAL RETELLING	VERIFIED	Same Sennacherib deliverance narrative.
DORÉ_DIRECT_PARALLEL	103	Destruction of the Army of Sennacherib	2 Kings 19	2 Chronicles 32	DIRECT HISTORICAL RETELLING	VERIFIED	Chronicles retells Sennacherib's invasion and deliverance.
DORÉ_DIRECT_PARALLEL	104	Slaughter of the Sons of Zedekiah Before Their Father	2 Kings 25	Jeremiah 39	DIRECT HISTORICAL RETELLING	VERIFIED	Same fall-of-Jerusalem/Zedekiah event.
DORÉ_DIRECT_PARALLEL	104	Slaughter of the Sons of Zedekiah Before Their Father	2 Kings 25	Jeremiah 52	DIRECT HISTORICAL RETELLING	VERIFIED	Same capture and punishment retold.
DORÉ_DIRECT_PARALLEL	105	The Inhabitants of Jabesh-Gilead Recovering the Bodies of Saul and His Sons	1 Chronicles 10	1 Samuel 31	DIRECT HISTORICAL RETELLING	VERIFIED	Same recovery and burial of Saul and sons.
DORÉ_DIRECT_PARALLEL	106	Plague of Jerusalem	1 Chronicles 21	2 Samuel 24	DIRECT HISTORICAL RETELLING	VERIFIED	Same census/plague narrative.
DORÉ_DIRECT_PARALLEL	107	Solomon	2 Chronicles 1	1 Kings 3	DIRECT SOLOMON WISDOM PARALLEL	VERIFIED	Same divine encounter and request for wisdom.
DORÉ_DIRECT_PARALLEL	108	Solomon Receiving the Queen of Sheba	2 Chronicles 9	1 Kings 10	DIRECT HISTORICAL RETELLING	VERIFIED	Same Queen of Sheba visit.
DORÉ_DIRECT_PARALLEL	110	Death of Athaliah	2 Chronicles 23	2 Kings 11	DIRECT HISTORICAL RETELLING	VERIFIED	Same overthrow and death of Athaliah.
DORÉ_DIRECT_PARALLEL	164	The Sermon on the Mount	Matthew 5	Luke 6	SYNOPTIC SERMON PARALLEL	VERIFIED	Major parallel teaching complex.
DORÉ_DIRECT_PARALLEL	165	The Dumb Man Possessed	Matthew 12	Luke 11	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	Mute demoniac and Beelzebul controversy parallel.
DORÉ_DIRECT_PARALLEL	166	Christ in the Synagogue	Matthew 13	Mark 6	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	Nazareth rejection parallel.
DORÉ_DIRECT_PARALLEL	166	Christ in the Synagogue	Matthew 13	Luke 4	NAZARETH REJECTION PARALLEL	VERIFIED	Luke gives the expanded Nazareth synagogue episode.
DORÉ_DIRECT_PARALLEL	167	The Daughter of Herod Receiving the Head of John the Baptist	Matthew 14	Mark 6	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	Same execution of John the Baptist.
DORÉ_DIRECT_PARALLEL	168	Christ Feeding the Multitude	Matthew 14	Mark 6	DIRECT FOUR-GOSPEL EVENT PARALLEL	VERIFIED	Feeding of the five thousand.
DORÉ_DIRECT_PARALLEL	168	Christ Feeding the Multitude	Matthew 14	Luke 9	DIRECT FOUR-GOSPEL EVENT PARALLEL	VERIFIED	Feeding of the five thousand.
DORÉ_DIRECT_PARALLEL	168	Christ Feeding the Multitude	Matthew 14	John 6	DIRECT FOUR-GOSPEL EVENT PARALLEL	VERIFIED	Feeding of the five thousand.
DORÉ_DIRECT_PARALLEL	170	The Transfiguration	Matthew 17	Mark 9	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	Same Transfiguration event.
DORÉ_DIRECT_PARALLEL	170	The Transfiguration	Matthew 17	Luke 9	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	Same Transfiguration event.
DORÉ_DIRECT_PARALLEL	171	Jesus Healing the Lunatic	Matthew 17	Mark 9	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	Same healing after the Transfiguration.
DORÉ_DIRECT_PARALLEL	171	Jesus Healing the Lunatic	Matthew 17	Luke 9	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	Same healing after the Transfiguration.
DORÉ_DIRECT_PARALLEL	172	Entry of Jesus Into Jerusalem	Matthew 21	Mark 11	DIRECT FOUR-GOSPEL EVENT PARALLEL	VERIFIED	Triumphal entry.
DORÉ_DIRECT_PARALLEL	172	Entry of Jesus Into Jerusalem	Matthew 21	Luke 19	DIRECT FOUR-GOSPEL EVENT PARALLEL	VERIFIED	Triumphal entry.
DORÉ_DIRECT_PARALLEL	172	Entry of Jesus Into Jerusalem	Matthew 21	John 12	DIRECT FOUR-GOSPEL EVENT PARALLEL	VERIFIED	Triumphal entry.
DORÉ_DIRECT_PARALLEL	173	Christ and the Tribute Money	Matthew 22	Mark 12	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	Question about tribute to Caesar.
DORÉ_DIRECT_PARALLEL	173	Christ and the Tribute Money	Matthew 22	Luke 20	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	Question about tribute to Caesar.
DORÉ_DIRECT_PARALLEL	174	Jesus Praying in the Garden	Matthew 26	Mark 14	DIRECT SYNOPTIC PASSION PARALLEL	VERIFIED	Gethsemane prayer.
DORÉ_DIRECT_PARALLEL	174	Jesus Praying in the Garden	Matthew 26	Luke 22	DIRECT SYNOPTIC PASSION PARALLEL	VERIFIED	Gethsemane prayer.
DORÉ_DIRECT_PARALLEL	175	Jesus Scourged	Matthew 27	Mark 15	DIRECT PASSION PARALLEL	VERIFIED	Scourging before crucifixion.
DORÉ_DIRECT_PARALLEL	175	Jesus Scourged	Matthew 27	John 19	DIRECT PASSION PARALLEL	VERIFIED	Scourging before crucifixion.
DORÉ_DIRECT_PARALLEL	176	Christ Mocked	Matthew 27	Mark 15	DIRECT PASSION PARALLEL	VERIFIED	Mocking of Jesus by soldiers.
DORÉ_DIRECT_PARALLEL	176	Christ Mocked	Matthew 27	John 19	DIRECT PASSION PARALLEL	VERIFIED	Royal mockery/crown of thorns complex.
